Movie,Year,Plex Status,Source,IMDB ID,TMDB ID,Collections,Tags,Posters,,Matt,Gabe,Griffin,Dan,Andrew,Ice,Image
Around the World in Eighty Days,1956,Yes,,tt0048960,2897,Adventure,,1950s,,,,,,,,
Arrival,2016,Yes,,tt2543164,329865,SciFi,,SciFi,,,,,,,,
Arsenal ,1929,,,tt0019649,85715,,Propaganda,,,,,,,,,
Arsenic and Old Lace,1943,,,tt0036613,212,Crime,,,,,,,,,,
Art Pupil,1998,***Request,,tt0118636,9445,Thriller,,,,,,,,,,
As Good as it Gets,1997,Yes,,tt0119822,2898,Dramedy,Psychology,,,,,,,,,
Assignment Paris!,1952,*Request,Youtube,tt0044379,87294,Thriller,,,,,,,,,,
Asteroid City,2023,Yes,,tt14230388,747188,Dramedy,,,,,,,,,,
At Eternity's Gate,2018,Yes,,tt6938828,491472,Biopic,,,,,,,,,,
Atanarjuat: The Fast Runner,2001,*Request,,tt0285441,13245,Religion,,,,,,,,,,
Atlantic City,1980,,,tt0080388,23954,Crime,,,,,,,,,,
Atlantics,2019,****Request,,tt10199586,496967,Romance|Mystery,French,,,,,,,,,
Atlantis: End of a World Birth of a Legend,2011,Yes,Magellan,tt1744825,83975,Action|Apocalypse,,,,,,,,,,
Atlantis: The Lost Empire,2001,Yes,,tt0230011,10865,2D Animation,,2D Animation,,,,,,,,
Atonement,2007,Yes,,tt0783233,4347,Romance,,,,,,,,,,
Attack from Space,1965,****Request,Youtube,tt0230832,22701,Superhero,Japanese,,,,,,,,,
Attack of the 50 Foot Woman,1958,***Request,,tt0051380,18724,Monster,,,,,,,,,,
Attack of the 50 Ft. Woman,1993,***Request,,tt0106317,74629,Comedy|Monster,,,,,,,,,,
August 32nd on Earth,1998,****Request,,tt0156248,59482,Drama,French,,,,,,,,,
August Rush,2007,,,tt0426931,5123,Music,,,,,,,,,,
August: Osage County,2013,**Request,,tt1322269,152737,Drama,,,,,,,,,,
Austin Powers in Goldmember,2002,Yes,,tt0295178,818,Comedy|Espionage,,,,,,,,,,
Austin Powers: The Spy Who Shagged Me,1999,Yes,,tt0145660,817,Comedy|Espionage,,,,,,,,,,
Avatar 2: The Way of Water,2022,Yes,,tt1630029,76600,Fantasy,,,,,,,,,,
Avengers: Age of Ultron,2015,Yes,,tt2395427,99861,Superhero,,,,,,,,,,
Avengers: Endgame,2019,Yes,,tt4154796,299534,Superhero,,2010s,,,,,,,,
Avengers: Infinity War,2018,Yes,,tt4154756,299536,Superhero,,,,,,,,,,
Avenues,2017,**Request,,tt4876096,587332,Dramedy,,,,,,,,,,
Awakenings,1990,Yes,,tt0099077,11005,Drama,,,,,,,,,,
Babe,1995,Yes,,tt0112431,9598,Family,,Family,,,,,,,,
Babel,2006,*****Request,,tt0449467,1164,Drama,,,,,,,,,,
Baby Driver,2017,Yes,,tt3890160,339403,Heist,,Heist,,,,,,,,
Babylon,2022,Yes,,tt10640346,615777,Dramedy,,,,,,,,,,
Back to Bataan,1945,,,tt0037522,19096,War,Propaganda,,,,,,,,,
Back to the Future,1985,Yes,,tt0088763,105,Time Travel|SciFi,,Time Travel|1980s,,,,,,,,
Back to the Future II,1989,Yes,,tt0096874,165,Time Travel|SciFi,,,,,,,,,,
Back to the Future III,1990,Yes,,tt0099088,196,Time Travel|SciFi,,,,,,,,,,
Bad Boys,1995,****Request,,tt0112442,9737,Action|Crime|Comedy,,,,,,,,,,
Bad Day at Black Rock,1955,*Request,,tt0047849,14554,Western,,,,,,,,,,
Bad Genius,2017,****Request,,tt6788942,455714,Dramedy|Crime,Thai,,,,,,,,,
Bad Genius ,2017,,,tt6788942,455714,Crime,,,,,,,,,,
Bad Luck Banging or Loony Porn,2021,Yes,,tt14033502,790496,Comedy,Romanian,,,,,,,,,
Bad Moms,2016,Yes,,tt4651520,376659,Comedy,,,,,,,,,,
Bad Teacher,2011,*****Request,,tt1284575,52449,Comedy|RomCom,,,,,,,,,,
Bad Words,2014,**Request,,tt2170299,209403,Comedy,,,,,,,,,,
Badlands,1973,****Request,,tt0069762,3133,Crime,,,,,,,,,,
Ballast,2008,***Request,,tt1153690,25112,Drama,,,,,,,,,,
Ballistic: Ecks vs. Sever,2002,Yes,,tt0308208,10550,Action,GoodBad,GoodBad,,,,,,,,
Bambi,1942,**Request,,tt0034492,3170,2D Animation,,,,,,,,,,
